150505_1345	2	globals	Period	NumPeriods	RepeatTreatment	timeout	numfix1	numfix2	rounds	change_group1	j									
150505_1345	2	globals	1	540	0	5	0.01	0.01	540	180	2									
150505_1345	2	subjects	Period	Subject	Group	Profit	Participate	PAP	PageSlider	Z1	PA	PAA3D	PPA3D	PAB3D	PPB3D	PAU3D	PPU3D	SG	rank2	LL
150505_1345	2	subjects	1	1	1	20.48282928	0	2.761122244	2	16	2.397795591	0	0	0	0	0	0	2	4	4
150505_1345	2	subjects	1	2	1	11.63586271	0	2.888777555	2	12	3.959118236	0	0	0	0	0	0	1	2	2
150505_1345	2	subjects	1	3	1	11.29910154	0	3.870741483	2	7	3.144088176	0	0	0	0	0	0	1	3	3
150505_1345	2	subjects	1	4	1	22.37175364	0	0.993587174	2	4	2.829859719	0	0	0	0	0	0	2	3	3
150505_1345	2	subjects	1	5	1	11.92799288	0	4.803607214	2	6	4.666132265	0	0	0	0	0	0	1	4	4
150505_1345	2	subjects	1	6	1	11.48574026	0	3.762725451	2	6	3.595791583	0	0	0	0	0	0	1	1	1
150505_1345	2	subjects	1	7	1	29.75573068	0	4.194789579	2	3	4.518837675	0	0	0	0	0	0	2	2	2
150505_1345	2	subjects	1	8	1	16.06102908	0	3.792184369	2	8	1.386372745	0	0	0	0	0	0	2	1	1
150505_1345	2	subjects	1	9	2	7.371763785	0	4.921442886	2	9	4.950901804	0	0	0	0	0	0	1	1	1
150505_1345	2	subjects	1	10	2	18.08086942	0	3.036072144	2	12	3.900200401	0	0	0	0	0	0	2	4	4
150505_1345	2	subjects	1	11	2	16.2090906	0	4.921442886	2	2	2.996793587	0	0	0	0	0	0	2	3	3
150505_1345	2	subjects	1	12	2	7.731450757	0	4.165330661	2	4	4.273346693	0	0	0	0	0	0	1	4	4
150505_1345	2	subjects	1	13	2	17.47050676	0	4.332264529	2	2	3.605611222	0	0	0	0	0	0	2	2	2
150505_1345	2	subjects	1	14	2	8.101563438	0	3.851102204	2	7	3.576152305	0	0	0	0	0	0	1	2	2
150505_1345	2	subjects	1	15	2	7.825282141	0	4.008216433	2	3	4.096593186	0	0	0	0	0	0	1	3	3
150505_1345	2	subjects	1	16	2	15.70045506	0	4.037675351	2	6	2.751302605	0	0	0	0	0	0	2	1	1
150505_1345	2	subjects	1	17	3	5.29041493	0	1.248897796	2	5	3.585971944	0	0	0	0	0	0	1	4	4
150505_1345	2	subjects	1	18	3	16.48866939	0	1.857715431	2	5	3.438677355	0	0	0	0	0	0	2	2	2
150505_1345	2	subjects	1	19	3	3.433321365	0	5	2	2	5	0	0	0	0	0	0	1	2	2
150505_1345	2	subjects	1	20	3	17.71160527	0	3.64488978	2	9	4.086773547	0	0	0	0	0	0	2	1	1
150505_1345	2	subjects	1	21	3	3.433321365	0	3.23246493	2	2	5	0	0	0	0	0	0	1	1	1
150505_1345	2	subjects	1	22	3	19.4348331	0	1.514028056	2	18	5	0	0	0	0	0	0	2	3	3
150505_1345	2	subjects	1	23	3	3.652561578	0	4.45991984	2	6	4.833066132	0	0	0	0	0	0	1	3	3
150505_1345	2	subjects	1	24	3	11.76368984	0	3.477955912	2	13	0.934669339	0	0	0	0	0	0	2	4	4
150505_1345	2	displayorder	Period	Subject	LCA	LCB														
150505_1345	2	displayorder	1	1	4	8														
150505_1345	2	displayorder	1	2	6	3														
150505_1345	2	displayorder	1	3	2	5														
150505_1345	2	displayorder	1	4	7	1														
150505_1345	2	displayorder	1	5	3	6														
150505_1345	2	displayorder	1	6	5	2														
150505_1345	2	displayorder	1	7	8	4														
150505_1345	2	displayorder	1	8	1	7														
150505_1345	2	displayorder	1	9	12	14														
150505_1345	2	displayorder	1	10	11	16														
150505_1345	2	displayorder	1	11	13	10														
150505_1345	2	displayorder	1	12	15	9														
150505_1345	2	displayorder	1	13	16	11														
150505_1345	2	displayorder	1	14	9	15														
150505_1345	2	displayorder	1	15	14	12														
150505_1345	2	displayorder	1	16	10	13														
150505_1345	2	displayorder	1	17	23	21														
150505_1345	2	displayorder	1	18	20	22														
150505_1345	2	displayorder	1	19	21	23														
150505_1345	2	displayorder	1	20	24	18														
150505_1345	2	displayorder	1	21	17	19														
150505_1345	2	displayorder	1	22	18	24														
150505_1345	2	displayorder	1	23	19	17														
150505_1345	2	displayorder	1	24	22	20														
150505_1345	2	globals	Period	NumPeriods	RepeatTreatment	timeout	numfix1	numfix2	rounds	change_group1	j									
150505_1345	2	globals	2	540	0	5	0.01	0.01	540	180	-									
150505_1345	2	subjects	Period	Subject	Group	Profit	Participate	PAP	PageSlider	Z1	PA	PAA3D	PPA3D	PAB3D	PPB3D	PAU3D	PPU3D	SG	rank2	LL
150505_1345	2	subjects	2	1	1	14.61070037	0	2.5	1	3	2.810220441	2.829859719	22.37175364	1.386372745	16.06102908	2.397795591	20.48282928	2	-	4
150505_1345	2	subjects	2	2	1	9.99107011	0	2.5	1	2	4.194789579	3.595791583	11.48574026	3.144088176	11.29910154	3.959118236	11.63586271	1	-	2
150505_1345	2	subjects	2	3	1	9.992261644	0	2.5	1	2	3.63507014	3.959118236	11.63586271	4.666132265	11.92799288	3.144088176	11.29910154	1	-	3
150505_1345	2	subjects	2	4	1	14.61070037	0	2.5	1	1	2.810220441	4.518837675	29.75573068	2.397795591	20.48282928	2.829859719	22.37175364	2	-	3
150505_1345	2	subjects	2	5	1	9.990463891	0	2.5	1	3	4.479559118	3.144088176	11.29910154	3.595791583	11.48574026	4.666132265	11.92799288	1	-	4
150505_1345	2	subjects	2	6	1	9.992136219	0	2.5	1	1	3.693987976	4.666132265	11.92799288	3.959118236	11.63586271	3.595791583	11.48574026	1	-	1
150505_1345	2	subjects	2	7	1	16.59235131	0	2.5	1	3	4.018036072	1.386372745	16.06102908	2.829859719	22.37175364	4.518837675	29.75573068	2	-	2
150505_1345	2	subjects	2	8	1	16.73735016	0	2.5	1	1	4.106412826	2.397795591	20.48282928	4.518837675	29.75573068	1.386372745	16.06102908	2	-	1
150505_1345	2	subjects	2	9	2	5.699109371	0	2.5	1	3	5	4.273346693	7.731450757	3.576152305	8.101563438	4.950901804	7.371763785	1	-	1
150505_1345	2	subjects	2	10	2	4.549593786	0	2.5	1	1	5	2.996793587	16.2090906	2.751302605	15.70045506	3.900200401	18.08086942	2	-	4
150505_1345	2	subjects	2	11	2	5.138325039	0	2.5	1	1	4.45991984	3.605611222	17.47050676	3.900200401	18.08086942	2.996793587	16.2090906	2	-	3
150505_1345	2	subjects	2	12	2	5.699109371	0	2.5	1	3	5	4.096593186	7.825282141	4.950901804	7.371763785	4.273346693	7.731450757	1	-	4
150505_1345	2	subjects	2	13	2	6.176632884	0	2.5	1	1	3.50741483	2.751302605	15.70045506	2.996793587	16.2090906	3.605611222	17.47050676	2	-	2
150505_1345	2	subjects	2	14	2	6.628239651	0	2.5	1	1	3.919839679	4.950901804	7.371763785	4.096593186	7.825282141	3.576152305	8.101563438	1	-	2
150505_1345	2	subjects	2	15	2	6.915425374	0	2.5	1	2	3.585971944	3.576152305	8.101563438	4.273346693	7.731450757	4.096593186	7.825282141	1	-	3
150505_1345	2	subjects	2	16	2	4.560297991	0	2.5	1	1	4.990180361	3.900200401	18.08086942	3.605611222	17.47050676	2.751302605	15.70045506	2	-	1
150505_1345	2	subjects	2	17	3	11.84502269	0	2.5	1	1	3.409218437	4.833066132	3.652561578	5	3.433321365	3.585971944	5.29041493	1	-	4
150505_1345	2	subjects	2	18	3	18.96150243	0	2.5	1	3	4.401002004	4.086773547	17.71160527	5	19.4348331	3.438677355	16.48866939	2	-	2
150505_1345	2	subjects	2	19	3	12.70593206	0	2.5	1	1	5	5	3.433321365	4.833066132	3.652561578	5	3.433321365	1	-	2
150505_1345	2	subjects	2	20	3	18.76155087	0	2.5	1	4	4.302805611	0.934669339	11.76368984	3.438677355	16.48866939	4.086773547	17.71160527	2	-	1
150505_1345	2	subjects	2	21	3	12.5465044	0	2.5	1	1	4.705410822	3.585971944	5.29041493	5	3.433321365	5	3.433321365	1	-	1
150505_1345	2	subjects	2	22	3	15.8022678	0	2.5	1	5	2.849498998	3.438677355	16.48866939	0.934669339	11.76368984	5	19.4348331	2	-	3
150505_1345	2	subjects	2	23	3	11.11696971	0	2.5	1	2	2.063927856	5	3.433321365	3.585971944	5.29041493	4.833066132	3.652561578	1	-	3
150505_1345	2	subjects	2	24	3	13.54281518	0	2.5	1	5	1.73987976	5	19.4348331	4.086773547	17.71160527	0.934669339	11.76368984	2	-	4
150505_1345	2	displayorder	Period	Subject	LCA	LCB														
150505_1345	2	displayorder	2	1	4	8														
150505_1345	2	displayorder	2	2	6	3														
150505_1345	2	displayorder	2	3	2	5														
150505_1345	2	displayorder	2	4	7	1														
150505_1345	2	displayorder	2	5	3	6														
150505_1345	2	displayorder	2	6	5	2														
150505_1345	2	displayorder	2	7	8	4														
150505_1345	2	displayorder	2	8	1	7														
150505_1345	2	displayorder	2	9	12	14														
150505_1345	2	displayorder	2	10	11	16														
150505_1345	2	displayorder	2	11	13	10														
150505_1345	2	displayorder	2	12	15	9														
150505_1345	2	displayorder	2	13	16	11														
150505_1345	2	displayorder	2	14	9	15														
150505_1345	2	displayorder	2	15	14	12														
150505_1345	2	displayorder	2	16	10	13														
150505_1345	2	displayorder	2	17	23	21														
150505_1345	2	displayorder	2	18	20	22														
150505_1345	2	displayorder	2	19	21	23														
150505_1345	2	displayorder	2	20	24	18														
150505_1345	2	displayorder	2	21	17	19														
150505_1345	2	displayorder	2	22	18	24														
150505_1345	2	displayorder	2	23	19	17														
150505_1345	2	displayorder	2	24	22	20														
150505_1345	2	globals	Period	NumPeriods	RepeatTreatment	timeout	numfix1	numfix2	rounds	change_group1	j									
150505_1345	2	globals	3	540	0	5	0.01	0.01	540	180	-									
150505_1345	2	subjects	Period	Subject	Group	Profit	Participate	PAP	PageSlider	Z1	PA	PAA3D	PPA3D	PAB3D	PPB3D	PAU3D	PPU3D	SG	rank2	LL
150505_1345	2	subjects	3	1	1	12.87304864	0	2.5	1	1	2.82004008	2.810220441	14.61070037	4.106412826	16.73735016	2.810220441	14.61070037	2	-	4
150505_1345	2	subjects	3	2	1	3.387059962	0	2.5	1	2	5	3.693987976	9.992136219	3.63507014	9.992261644	4.194789579	9.99107011	1	-	2
150505_1345	2	subjects	3	3	1	4.127338179	0	2.5	1	0	4.440280561	4.194789579	9.99107011	4.479559118	9.990463891	3.63507014	9.992261644	1	-	3
150505_1345	2	subjects	3	4	1	12.85304021	0	2.5	1	2	2.800400802	4.018036072	16.59235131	2.810220441	14.61070037	2.810220441	14.61070037	2	-	3
150505_1345	2	subjects	3	5	1	4.711768351	0	2.5	1	1	3.998396794	3.63507014	9.992261644	3.693987976	9.992136219	4.479559118	9.990463891	1	-	4
150505_1345	2	subjects	3	6	1	3.387059962	0	2.5	1	1	5	4.479559118	9.990463891	4.194789579	9.99107011	3.693987976	9.992136219	1	-	1
150505_1345	2	subjects	3	7	1	14.99394328	0	2.5	1	4	4.901803607	4.106412826	16.73735016	2.810220441	14.61070037	4.018036072	16.59235131	2	-	2
150505_1345	2	subjects	3	8	1	14.07355504	0	2.5	1	1	3.998396794	2.810220441	14.61070037	4.018036072	16.59235131	4.106412826	16.73735016	2	-	1
150505_1345	2	subjects	3	9	2	11.51439904	0	2.5	1	3	3.153907816	5	5.699109371	3.919839679	6.628239651	5	5.699109371	1	-	1
150505_1345	2	subjects	3	10	2	7.658526852	0	2.5	1	1	3.890380762	4.45991984	5.138325039	4.990180361	4.560297991	5	4.549593786	2	-	4
150505_1345	2	subjects	3	11	2	7.286192457	0	2.5	1	1	4.509018036	3.50741483	6.176632884	5	4.549593786	4.45991984	5.138325039	2	-	3
150505_1345	2	subjects	3	12	2	12.13207139	0	2.5	1	1	4.440280561	3.585971944	6.915425374	5	5.699109371	5	5.699109371	1	-	4
150505_1345	2	subjects	3	13	2	7.292102527	0	2.5	1	1	4.499198397	4.990180361	4.560297991	4.45991984	5.138325039	3.50741483	6.176632884	2	-	2
150505_1345	2	subjects	3	14	2	12.11321117	0	2.5	1	1	4.401002004	5	5.699109371	3.585971944	6.915425374	3.919839679	6.628239651	1	-	2
150505_1345	2	subjects	3	15	2	11.57097972	0	2.5	1	2	3.271743487	3.919839679	6.628239651	5	5.699109371	3.585971944	6.915425374	1	-	3
150505_1345	2	subjects	3	16	2	7.516685178	0	2.5	1	1	4.126052104	5	4.549593786	3.50741483	6.176632884	4.990180361	4.560297991	2	-	1
150505_1345	2	subjects	3	17	3	3.390740218	0	2.5	1	1	4.086773547	2.063927856	11.11696971	4.705410822	12.5465044	3.409218437	11.84502269	1	-	4
150505_1345	2	subjects	3	18	3	8.245596006	0	2.5	1	1	3.733266533	4.302805611	18.76155087	2.849498998	15.8022678	4.401002004	18.96150243	2	-	2
150505_1345	2	subjects	3	19	3	1.913841437	0	2.5	1	1	5	4.705410822	12.5465044	2.063927856	11.11696971	5	12.70593206	1	-	2
150505_1345	2	subjects	3	20	3	8.111771964	0	2.5	1	4	4.018036072	1.73987976	13.54281518	4.401002004	18.96150243	4.302805611	18.76155087	2	-	1
150505_1345	2	subjects	3	21	3	1.913841437	0	2.5	1	1	5	3.409218437	11.84502269	5	12.70593206	4.705410822	12.5465044	1	-	1
150505_1345	2	subjects	3	22	3	8.10254272	0	2.5	1	4	4.037675351	4.401002004	18.96150243	1.73987976	13.54281518	2.849498998	15.8022678	2	-	3
150505_1345	2	subjects	3	23	3	1.913841437	0	2.5	1	2	5	5	12.70593206	3.409218437	11.84502269	2.063927856	11.11696971	1	-	3
150505_1345	2	subjects	3	24	3	7.650309751	0	2.5	1	3	5	2.849498998	15.8022678	4.302805611	18.76155087	1.73987976	13.54281518	2	-	4
150505_1345	2	displayorder	Period	Subject	LCA	LCB														
150505_1345	2	displayorder	3	1	4	8														
150505_1345	2	displayorder	3	2	6	3														
150505_1345	2	displayorder	3	3	2	5														
150505_1345	2	displayorder	3	4	7	1														
150505_1345	2	displayorder	3	5	3	6														
150505_1345	2	displayorder	3	6	5	2														
150505_1345	2	displayorder	3	7	8	4														
150505_1345	2	displayorder	3	8	1	7														
150505_1345	2	displayorder	3	9	12	14														
150505_1345	2	displayorder	3	10	11	16														
150505_1345	2	displayorder	3	11	13	10														
150505_1345	2	displayorder	3	12	15	9														
150505_1345	2	displayorder	3	13	16	11														
150505_1345	2	displayorder	3	14	9	15														
150505_1345	2	displayorder	3	15	14	12														
150505_1345	2	displayorder	3	16	10	13														
150505_1345	2	displayorder	3	17	23	21														
150505_1345	2	displayorder	3	18	20	22														
150505_1345	2	displayorder	3	19	21	23														
150505_1345	2	displayorder	3	20	24	18														
150505_1345	2	displayorder	3	21	17	19														
150505_1345	2	displayorder	3	22	18	24														
150505_1345	2	displayorder	3	23	19	17														
150505_1345	2	displayorder	3	24	22	20														
150505_1345	2	globals	Period	NumPeriods	RepeatTreatment	timeout	numfix1	numfix2	rounds	change_group1	j									
